id,State,Year,Population,Death pop,Crude Rate
01,Alabama,2015,3878.319,743,19.2
02,Alaska,2015,571.05,198,34.7
04,Arizona,2015,5384.011,1258,23.4
05,Arkansas,2015,2351.326,571,24.3
06,California,2015,30832.941,4131,13.4
08,Colorado,2015,4329.496,1067,24.6
09,Connecticut,2015,2921.955,379,13
10,Delaware,2015,760.655,119,15.6
11,District of Columbia,2015,566.891,34,6
12,Florida,2015,16585.017,3169,19.1
13,Georgia,2015,7962.342,1291,16.2
15,Hawaii,2015,1145.443,198,17.3
16,Idaho,2015,1265.824,348,27.5
17,Illinois,2015,10239.77,1334,13
18,Indiana,2015,5211.722,943,18.1
19,Iowa,2015,2472.929,423,17.1
20,Kansas,2015,2267.717,467,20.6
21,Kentucky,2015,3528.275,762,21.6
22,Louisiana,2015,3672.376,708,19.3
23,Maine,2015,1104.005,232,21
24,Maryland,2015,4792.443,543,11.3
25,Massachusetts,2015,5576.708,635,11.4
26,Michigan,2015,7990.669,1383,17.3
27,Minnesota,2015,4338.583,716,16.5
28,Mississippi,2015,2344.373,425,18.1
29,Missouri,2015,4840.689,1034,21.4
30,Montana,2015,829.149,266,32.1
31,Nebraska,2015,1470.649,221,15
32,Nevada,2015,2273.273,547,24.1
33,New Hampshire,2015,1105.202,227,20.5
34,New Jersey,2015,7118.033,781,11
35,New Mexico,2015,1646.254,491,29.8
36,New York,2015,15953.233,1635,10.3
37,North Carolina,2015,8003.691,1387,17.3
38,North Dakota,2015,597.381,123,20.6
39,Ohio,2015,9295.51,1629,17.5
40,Oklahoma,2015,3053.286,774,25.4
41,Oregon,2015,3250.814,751,23.1
42,Pennsylvania,2015,10414.153,1875,18
44,Rhode Island,2015,871.345,125,14.4
45,South Carolina,2015,3922.642,730,18.6
46,South Dakota,2015,664.646,162,24.4
47,Tennessee,2015,5262.829,1047,19.9
48,Texas,2015,21017.195,3358,16
49,Utah,2015,2165.669,607,28
50,Vermont,2015,520.467,102,19.6
51,Virginia,2015,6703.823,1106,16.5
53,Washington,2015,5729.15,1115,19.5
54,West Virginia,2015,1507.576,336,22.3
55,Wisconsin,2015,4615.919,867,18.8
56,Wyoming,2015,460.764,155,33.6
