id,State,Year,Population,Death pop,Crude Rate
01,Alabama,2019,3938622,788,20
02,Alaska,2019,570315,203,35.6
04,Arizona,2019,5823442,1399,24
05,Arkansas,2019,2396529,538,22.5
06,California,2019,31616808,4391,13.9
08,Colorado,2019,4642871,1281,27.6
09,Connecticut,2019,2929347,430,14.7
10,Delaware,2019,793416,109,13.7
11,District of Columbia,2019,587856,43,7.3
12,Florida,2019,17724748,3423,19.3
13,Georgia,2019,8402220,1557,18.5
15,Hawaii,2019,1147014,220,19.2
16,Idaho,2019,1389772,353,25.4
17,Illinois,2019,10183273,1416,13.9
18,Indiana,2019,5344273,949,17.8
19,Iowa,2019,2509853,516,20.6
20,Kansas,2019,2292050,512,22.3
21,Kentucky,2019,3577654,744,20.8
22,Louisiana,2019,3679746,688,18.7
23,Maine,2019,1125690,272,24.2
24,Maryland,2019,4860644,648,13.3
25,Massachusetts,2019,5703431,643,11.3
26,Michigan,2019,8096917,1435,17.7
27,Minnesota,2019,4480935,815,18.2
28,Mississippi,2019,2356806,428,18.2
29,Missouri,2019,4921814,1124,22.8
30,Montana,2019,865511,283,32.7
31,Nebraska,2019,1510676,307,20.3
32,Nevada,2019,2463842,634,25.7
33,New Hampshire,2019,1136746,251,22.1
34,New Jersey,2019,7169881,749,10.5
35,New Mexico,2019,1676163,502,30
36,New York,2019,15881407,1677,10.6
37,North Carolina,2019,8451202,1337,15.8
38,North Dakota,2019,599422,131,21.9
39,Ohio,2019,9409089,1764,18.8
40,Oklahoma,2019,3110214,796,25.6
41,Oregon,2019,3448892,895,26
42,Pennsylvania,2019,10475007,1862,17.8
44,Rhode Island,2019,879700,123,14
45,South Carolina,2019,4162280,832,20
46,South Dakota,2019,689981,176,25.5
47,Tennessee,2019,5490156,1200,21.9
48,Texas,2019,22421178,3807,17
49,Utah,2019,2378357,634,26.7
50,Vermont,2019,523912,108,20.6
51,Virginia,2019,6884232,1119,16.3
53,Washington,2019,6131668,1248,20.4
54,West Virginia,2019,1474615,324,22
55,Wisconsin,2019,4703402,831,17.7
56,Wyoming,2019,459639,165,35.9
